,country,Year,Life expectancy ,Schooling,Alcohol, BMI 
75,Antigua and Barbuda,2004,74.4,0.0,7.28,4.8
74,Antigua and Barbuda,2005,74.6,0.0,8.15,41.4
73,Antigua and Barbuda,2006,74.8,14.7,8.93,42.0
72,Antigua and Barbuda,2007,75.0,14.5,8.64,42.6
71,Antigua and Barbuda,2008,75.2,14.4,8.27,43.2
70,Antigua and Barbuda,2009,75.4,14.2,7.82,43.8
69,Antigua and Barbuda,2010,75.6,14.1,7.84,44.4
95,Argentina,2000,74.1,15.0,7.68,54.0
94,Argentina,2001,74.0,15.6,7.76,54.6
93,Argentina,2002,74.1,16.3,7.81,55.1
92,Argentina,2003,74.1,16.4,7.62,55.7
91,Argentina,2004,74.7,16.3,7.63,56.3
90,Argentina,2005,74.9,16.3,7.53,56.9
89,Argentina,2006,75.2,16.1,7.75,57.5
88,Argentina,2007,74.8,16.3,8.16,58.0
87,Argentina,2008,75.4,16.3,8.41,58.6
86,Argentina,2009,75.6,16.5,8.33,59.2
85,Argentina,2010,75.5,16.8,8.15,59.8
111,Armenia,2000,72.0,11.2,2.9,47.1
110,Armenia,2001,72.6,11.1,2.86,47.4
109,Armenia,2002,72.6,10.8,2.86,47.8
108,Armenia,2003,72.7,10.8,3.03,48.1
107,Armenia,2004,73.0,10.9,3.81,48.4
106,Armenia,2005,73.0,10.9,4.25,48.8
105,Armenia,2006,72.9,11.2,4.01,49.2
104,Armenia,2007,73.5,11.7,3.99,49.7
103,Armenia,2008,73.2,12.3,3.96,5.1
102,Armenia,2009,73.3,11.9,3.96,5.7
101,Armenia,2010,73.5,12.3,4.23,51.2
127,Australia,2000,79.5,20.4,10.17,58.2
126,Australia,2001,79.9,20.5,9.53,59.0
125,Australia,2002,79.9,20.1,9.84,59.6
124,Australia,2003,83.0,20.6,9.97,6.3
123,Australia,2004,86.0,20.7,9.84,6.9
122,Australia,2005,81.0,20.3,10.3,61.5
121,Australia,2006,81.2,20.3,10.31,62.0
120,Australia,2007,81.3,19.0,10.56,62.5
119,Australia,2008,81.3,19.1,10.76,62.9
118,Australia,2009,81.7,19.1,10.62,63.4
117,Australia,2010,81.9,19.5,10.52,63.9
143,Austria,2000,78.1,15.4,13.2,5.1
142,Austria,2001,78.6,15.5,12.4,5.6
141,Austria,2002,78.7,16.1,12.5,51.2
140,Austria,2003,78.8,14.7,12.2,51.7
139,Austria,2004,79.3,14.7,12.1,52.2
138,Austria,2005,79.4,14.9,12.4,52.7
137,Austria,2006,79.8,15.0,12.4,53.2
136,Austria,2007,81.0,15.2,12.5,53.7
135,Austria,2008,84.0,15.1,12.0,54.2
134,Austria,2009,82.0,15.3,11.3,54.7
133,Austria,2010,84.0,15.4,12.1,55.2
159,Azerbaijan,2000,66.6,10.1,0.65,42.1
158,Azerbaijan,2001,67.5,10.4,0.51,42.6
157,Azerbaijan,2002,67.8,10.6,0.55,43.1
156,Azerbaijan,2003,67.8,10.8,0.55,43.6
155,Azerbaijan,2004,68.4,11.0,0.62,44.2
154,Azerbaijan,2005,68.4,11.2,0.73,44.7
153,Azerbaijan,2006,69.2,10.7,0.85,45.3
152,Azerbaijan,2007,73.0,11.6,1.02,45.9
151,Azerbaijan,2008,73.0,11.6,1.18,46.6
150,Azerbaijan,2009,78.0,11.6,2.1,47.3
149,Azerbaijan,2010,71.1,11.7,1.98,48.0
175,Bahamas,2000,72.6,12.0,12.15,54.4
174,Bahamas,2001,72.9,12.1,11.64,55.2
173,Bahamas,2002,73.1,12.1,10.85,56.0
172,Bahamas,2003,73.2,12.2,10.68,56.7
171,Bahamas,2004,73.8,12.3,10.1,57.4
170,Bahamas,2005,74.1,12.4,10.49,58.1
169,Bahamas,2006,74.2,12.4,11.07,58.7
168,Bahamas,2007,74.4,12.5,10.75,59.4
167,Bahamas,2008,74.5,12.6,10.15,6.1
166,Bahamas,2009,74.6,12.6,9.29,6.7
165,Bahamas,2010,75.0,12.6,9.19,61.3
191,Bahrain,2000,74.5,13.2,2.15,54.5
190,Bahrain,2001,74.7,13.3,1.95,54.8
189,Bahrain,2002,74.9,13.5,1.99,55.0
188,Bahrain,2003,75.0,13.7,2.16,55.2
187,Bahrain,2004,75.2,13.9,2.16,55.6
186,Bahrain,2005,75.3,14.0,2.05,56.1
185,Bahrain,2006,75.5,14.2,2.1,56.8
184,Bahrain,2007,75.6,14.4,2.0,57.6
183,Bahrain,2008,75.8,14.4,2.0,58.5
182,Bahrain,2009,76.0,14.4,1.95,59.3
181,Bahrain,2010,76.1,14.4,1.93,6.1
207,Bangladesh,2000,65.3,7.3,0.01,1.4
206,Bangladesh,2001,65.8,7.5,0.01,1.8
205,Bangladesh,2002,66.3,7.7,0.01,11.2
204,Bangladesh,2003,66.8,7.9,0.01,11.6
203,Bangladesh,2004,67.3,8.1,0.01,12.0
202,Bangladesh,2005,67.8,8.2,0.01,12.5
201,Bangladesh,2006,68.2,8.4,0.01,13.0
200,Bangladesh,2007,68.6,8.6,0.01,13.5
199,Bangladesh,2008,69.1,8.6,0.01,14.0
198,Bangladesh,2009,69.5,8.4,0.01,14.6
197,Bangladesh,2010,69.9,8.9,0.01,15.2
223,Barbados,2000,73.3,14.0,7.43,43.0
222,Barbados,2001,73.4,14.0,7.38,43.8
221,Barbados,2002,73.5,14.0,7.59,44.6
220,Barbados,2003,73.7,14.2,7.65,45.4
219,Barbados,2004,73.8,14.4,7.68,46.2
218,Barbados,2005,73.9,14.6,8.01,46.9
217,Barbados,2006,74.1,14.8,8.39,47.7
216,Barbados,2007,74.2,15.0,8.47,48.4
215,Barbados,2008,74.4,15.3,8.95,49.2
214,Barbados,2009,74.6,15.5,8.46,49.9
213,Barbados,2010,74.7,15.8,8.41,5.7
239,Belarus,2000,68.0,13.1,12.98,54.4
238,Belarus,2001,67.7,13.3,10.74,54.9
237,Belarus,2002,67.2,13.6,12.23,55.3
236,Belarus,2003,67.7,13.9,11.17,55.8
235,Belarus,2004,68.2,14.1,12.05,56.2
234,Belarus,2005,68.1,14.4,11.01,56.7
233,Belarus,2006,68.9,14.6,12.6,57.2
232,Belarus,2007,69.8,14.9,14.22,57.7
231,Belarus,2008,70.0,15.1,14.67,58.2
230,Belarus,2009,70.0,15.4,14.09,58.7
229,Belarus,2010,73.0,15.5,14.44,59.3
255,Belgium,2000,77.6,18.0,11.21,58.1
254,Belgium,2001,78.0,18.2,11.01,58.5
253,Belgium,2002,78.0,18.8,11.29,59.0
252,Belgium,2003,78.3,18.6,11.28,59.4
251,Belgium,2004,78.8,18.8,12.05,59.8
250,Belgium,2005,78.9,15.7,12.27,6.2
249,Belgium,2006,79.4,15.7,10.98,6.6
248,Belgium,2007,79.5,15.8,10.25,6.9
247,Belgium,2008,79.5,15.8,10.47,61.3
246,Belgium,2009,79.8,15.8,10.05,61.6
245,Belgium,2010,80.0,15.9,10.22,61.9
271,Belize,2000,68.3,11.7,4.79,4.8
270,Belize,2001,68.2,11.8,4.9,41.4
269,Belize,2002,68.5,11.9,4.99,42.0
268,Belize,2003,68.4,12.2,5.67,42.6
267,Belize,2004,68.7,12.5,6.2,43.2
266,Belize,2005,69.0,12.8,6.25,43.8
265,Belize,2006,69.4,12.3,6.48,44.4
264,Belize,2007,69.6,12.8,7.24,45.0
263,Belize,2008,69.6,12.8,7.22,45.7
262,Belize,2009,69.5,12.7,6.85,46.3
261,Belize,2010,69.5,12.4,6.76,47.0
287,Benin,2000,55.4,6.4,1.34,18.4
286,Benin,2001,55.5,6.6,1.29,18.8
285,Benin,2002,55.6,7.3,1.23,19.2
284,Benin,2003,55.8,7.7,1.35,19.7
283,Benin,2004,56.1,8.1,1.15,2.1
282,Benin,2005,56.5,8.5,1.13,2.5
281,Benin,2006,56.8,8.7,1.19,21.0
280,Benin,2007,57.1,8.9,1.12,21.5
279,Benin,2008,57.6,9.1,1.28,22.0
278,Benin,2009,58.4,9.3,1.16,22.5
277,Benin,2010,58.7,9.5,1.33,23.0
303,Bhutan,2000,62.0,7.3,0.17,13.9
302,Bhutan,2001,61.7,7.6,0.14,14.4
301,Bhutan,2002,62.5,8.0,0.29,14.9
300,Bhutan,2003,63.3,8.4,0.52,15.5
299,Bhutan,2004,64.2,8.8,0.96,16.1
298,Bhutan,2005,65.0,9.2,0.73,16.7
297,Bhutan,2006,65.8,9.6,0.29,17.4
296,Bhutan,2007,66.5,10.1,0.16,18.0
295,Bhutan,2008,67.0,10.5,0.21,18.8
294,Bhutan,2009,67.4,10.9,0.17,19.5
293,Bhutan,2010,67.9,11.4,0.28,2.3
319,Bolivia,2000,62.6,13.3,2.32,42.6
318,Bolivia,2001,63.3,13.7,2.2,43.3
317,Bolivia,2002,63.9,14.0,2.26,44.0
316,Bolivia,2003,64.5,14.4,2.37,44.7
315,Bolivia,2004,65.1,14.6,2.66,45.4
314,Bolivia,2005,65.7,14.4,2.86,46.0
313,Bolivia,2006,66.2,14.3,3.23,46.7
312,Bolivia,2007,66.8,14.1,3.47,47.3
311,Bolivia,2008,67.4,14.0,3.77,48.0
310,Bolivia,2009,68.0,13.8,3.87,48.6
309,Bolivia,2010,68.7,13.8,3.95,49.3
335,Bosnia and Herzegovina,2000,74.6,0.0,3.64,47.6
334,Bosnia and Herzegovina,2001,74.9,11.6,3.85,48.2
333,Bosnia and Herzegovina,2002,75.4,11.9,3.84,48.8
332,Bosnia and Herzegovina,2003,75.2,12.1,4.14,49.4
331,Bosnia and Herzegovina,2004,75.5,12.3,4.25,49.9
330,Bosnia and Herzegovina,2005,75.0,12.5,4.56,5.5
329,Bosnia and Herzegovina,2006,75.7,12.7,4.82,51.0
328,Bosnia and Herzegovina,2007,75.4,12.9,5.16,51.5
327,Bosnia and Herzegovina,2008,76.0,13.1,5.13,52.1
326,Bosnia and Herzegovina,2009,76.1,13.3,4.75,52.6
325,Bosnia and Herzegovina,2010,76.4,13.3,4.54,53.1
351,Botswana,2000,47.8,11.7,5.37,29.9
350,Botswana,2001,46.7,11.8,5.48,3.5
349,Botswana,2002,46.0,11.9,6.41,31.1
348,Botswana,2003,46.4,11.8,5.51,31.6
347,Botswana,2004,48.1,11.8,4.9,32.2
346,Botswana,2005,51.7,11.9,6.37,32.7
345,Botswana,2006,54.8,11.9,6.45,33.2
344,Botswana,2007,56.9,12.1,6.21,33.7
343,Botswana,2008,57.5,12.1,6.56,34.2
342,Botswana,2009,59.2,12.2,5.01,34.7
341,Botswana,2010,61.1,12.3,5.99,35.2
367,Brazil,2000,75.0,14.1,7.26,43.7
366,Brazil,2001,71.0,14.3,7.13,44.5
365,Brazil,2002,71.4,14.6,7.0,45.3
364,Brazil,2003,71.8,14.8,6.95,46.1
363,Brazil,2004,72.0,14.0,6.85,46.9
362,Brazil,2005,72.7,13.8,6.97,47.8
361,Brazil,2006,73.0,13.8,7.1,48.6
360,Brazil,2007,73.3,13.5,7.19,49.4
359,Brazil,2008,73.4,13.3,7.21,5.3
358,Brazil,2009,73.6,13.8,7.33,51.1
357,Brazil,2010,73.8,13.8,7.52,52.0
383,Brunei,2000,74.4,13.4,0.37,26.1
382,Brunei,2001,74.7,13.4,0.47,27.0
381,Brunei,2002,74.8,13.3,0.13,28.0
380,Brunei,2003,76.0,13.4,0.12,29.1
379,Brunei,2004,76.4,13.7,0.11,3.1
378,Brunei,2005,76.2,14.1,0.16,31.2
377,Brunei,2006,76.3,14.3,0.67,32.2
376,Brunei,2007,76.0,14.3,0.85,33.2
375,Brunei,2008,77.2,14.2,0.67,34.2
374,Brunei,2009,76.8,14.1,0.25,35.2
373,Brunei,2010,76.9,14.2,0.88,36.2
399,Bulgaria,2000,71.1,12.9,9.69,57.0
398,Bulgaria,2001,71.6,12.9,10.72,57.5
397,Bulgaria,2002,71.8,12.9,10.2,58.1
396,Bulgaria,2003,72.0,12.9,11.19,58.6
395,Bulgaria,2004,72.2,13.3,10.96,59.1
394,Bulgaria,2005,72.1,13.5,10.48,59.7
393,Bulgaria,2006,72.2,13.5,10.39,6.3
392,Bulgaria,2007,72.6,13.5,10.89,6.9
391,Bulgaria,2008,72.9,13.8,10.98,61.5
390,Bulgaria,2009,73.2,13.8,10.93,62.1
389,Bulgaria,2010,73.4,13.9,10.8,62.7
415,Burkina Faso,2000,51.0,3.4,3.71,12.2
414,Burkina Faso,2001,56.0,3.5,4.56,12.5
413,Burkina Faso,2002,51.0,3.6,4.53,12.9
412,Burkina Faso,2003,51.6,3.8,4.58,13.3
411,Burkina Faso,2004,52.4,3.9,4.54,13.7
410,Burkina Faso,2005,53.3,4.3,4.88,14.2
409,Burkina Faso,2006,54.3,4.7,4.73,14.6
408,Burkina Faso,2007,55.3,4.9,4.58,15.1
407,Burkina Faso,2008,56.1,5.4,4.5,15.6
406,Burkina Faso,2009,56.9,5.9,4.55,16.1
405,Burkina Faso,2010,57.5,6.3,4.55,16.6
431,Burundi,2000,58.0,4.5,6.61,12.8
430,Burundi,2001,51.3,4.5,6.09,13.0
429,Burundi,2002,51.5,4.4,5.98,13.3
428,Burundi,2003,51.9,4.7,5.84,13.5
427,Burundi,2004,52.6,5.2,5.72,13.8
426,Burundi,2005,53.4,5.6,5.54,14.1
425,Burundi,2006,54.1,5.9,4.5,14.5
424,Burundi,2007,54.8,7.2,4.54,14.8
423,Burundi,2008,55.3,7.9,4.33,15.2
422,Burundi,2009,56.2,8.6,4.05,15.7
421,Burundi,2010,56.8,9.3,4.16,16.1
463,Cape Verde,2000,69.9,11.3,3.49,21.5
462,Cape Verde,2001,73.0,11.0,3.81,22.1
461,Cape Verde,2002,77.0,11.3,3.82,22.6
460,Cape Verde,2003,71.1,11.3,4.16,23.2
459,Cape Verde,2004,71.4,11.1,4.19,23.7
458,Cape Verde,2005,71.8,11.2,4.26,24.3
457,Cape Verde,2006,72.1,11.9,4.25,24.9
456,Cape Verde,2007,72.3,11.9,5.28,25.5
455,Cape Verde,2008,72.4,12.2,4.16,26.2
454,Cape Verde,2009,72.4,12.4,4.45,26.8
453,Cape Verde,2010,72.5,12.7,4.75,27.5
479,Cambodia,2000,57.7,7.2,1.51,12.1
478,Cambodia,2001,58.5,7.6,1.71,12.4
477,Cambodia,2002,59.3,8.2,1.43,12.8
476,Cambodia,2003,63.0,9.3,1.44,13.1
475,Cambodia,2004,61.5,9.7,1.38,13.5
474,Cambodia,2005,62.9,10.0,1.99,13.9
473,Cambodia,2006,64.1,10.1,2.03,14.3
472,Cambodia,2007,65.0,10.3,2.08,14.8
471,Cambodia,2008,65.6,10.5,2.24,15.3
470,Cambodia,2009,66.1,10.5,2.13,15.9
469,Cambodia,2010,66.6,10.6,2.2,16.4
495,Cameroon,2000,51.4,6.9,3.91,2.9
494,Cameroon,2001,51.5,7.1,4.43,21.3
493,Cameroon,2002,51.6,8.4,4.58,21.8
492,Cameroon,2003,51.8,8.1,4.64,22.3
491,Cameroon,2004,52.1,8.2,4.71,22.8
490,Cameroon,2005,52.8,8.3,5.03,23.3
489,Cameroon,2006,53.3,8.2,5.22,23.8
488,Cameroon,2007,53.6,8.0,5.44,24.4
487,Cameroon,2008,54.2,8.8,5.9,24.9
486,Cameroon,2009,54.8,9.2,5.89,25.4
485,Cameroon,2010,55.3,9.7,6.15,26.0
511,Canada,2000,79.1,15.9,7.6,57.8
510,Canada,2001,79.4,15.8,7.6,58.5
509,Canada,2002,79.5,15.8,7.7,59.3
508,Canada,2003,79.7,15.8,7.7,6.0
507,Canada,2004,80.0,15.8,7.8,6.6
506,Canada,2005,81.0,15.8,8.0,61.3
505,Canada,2006,85.0,15.8,8.2,61.9
504,Canada,2007,85.0,15.8,8.3,62.5
503,Canada,2008,87.0,15.8,8.3,63.0
502,Canada,2009,81.0,15.9,8.4,63.6
501,Canada,2010,81.2,15.9,8.4,64.1
527,Central African Republic,2000,46.0,5.2,1.51,16.5
526,Central African Republic,2001,45.6,5.3,1.52,16.8
525,Central African Republic,2002,45.6,5.4,1.47,17.2
524,Central African Republic,2003,45.7,5.6,1.49,17.5
523,Central African Republic,2004,45.7,5.7,1.5,17.9
522,Central African Republic,2005,45.9,5.9,1.5,18.2
521,Central African Republic,2006,46.3,6.0,1.54,18.6
520,Central African Republic,2007,46.8,6.2,1.5,19.0
519,Central African Republic,2008,47.6,6.3,1.52,19.4
518,Central African Republic,2009,48.6,6.4,1.56,19.8
517,Central African Republic,2010,49.2,6.6,1.67,2.2
543,Chad,2000,47.6,4.7,0.25,13.9
542,Chad,2001,48.0,4.9,0.3,14.1
541,Chad,2002,48.1,5.1,0.36,14.4
540,Chad,2003,48.4,5.4,0.42,14.8
539,Chad,2004,48.5,5.6,0.34,15.1
538,Chad,2005,48.6,5.6,0.42,15.4
537,Chad,2006,48.5,5.5,0.41,15.7
536,Chad,2007,49.4,5.7,0.42,16.1
535,Chad,2008,49.6,6.0,0.45,16.4
534,Chad,2009,57.0,6.3,0.47,16.7
533,Chad,2010,51.2,6.7,0.5,17.1
559,Chile,2000,77.3,13.5,6.24,54.0
558,Chile,2001,77.3,13.7,6.1,54.7
557,Chile,2002,77.8,13.9,6.06,55.4
556,Chile,2003,77.9,14.0,6.37,56.1
555,Chile,2004,78.0,14.3,6.32,56.8
554,Chile,2005,78.4,14.6,7.57,57.4
553,Chile,2006,78.9,14.9,7.33,58.1
552,Chile,2007,78.9,14.8,7.39,58.7
551,Chile,2008,79.6,15.2,7.31,59.3
550,Chile,2009,79.3,15.3,7.67,59.9
549,Chile,2010,79.1,15.2,7.93,6.6
575,China,2000,71.7,9.5,3.06,2.5
574,China,2001,72.2,9.6,2.84,21.2
573,China,2002,72.7,9.7,2.91,21.9
572,China,2003,73.1,9.9,2.96,22.6
571,China,2004,73.5,10.2,3.04,23.4
570,China,2005,73.9,10.6,2.92,24.1
569,China,2006,74.2,11.0,3.28,24.9
568,China,2007,74.4,11.4,3.88,25.7
567,China,2008,74.5,11.9,4.27,26.5
566,China,2009,74.9,12.2,4.88,27.3
565,China,2010,75.0,12.5,5.75,28.1
591,Colombia,2000,71.4,11.3,4.66,46.7
590,Colombia,2001,71.5,11.4,4.43,47.5
589,Colombia,2002,71.8,11.5,4.45,48.2
588,Colombia,2003,72.4,11.6,4.25,49.0
587,Colombia,2004,72.8,11.3,4.26,49.8
586,Colombia,2005,73.1,11.1,4.38,5.5
585,Colombia,2006,73.1,11.5,4.53,51.3
584,Colombia,2007,73.5,11.9,4.66,52.0
583,Colombia,2008,73.5,12.2,4.45,52.8
582,Colombia,2009,73.6,12.4,4.34,53.5
581,Colombia,2010,73.6,12.8,4.28,54.2
607,Comoros,2000,59.5,8.2,0.09,17.3
606,Comoros,2001,59.5,8.5,0.08,17.6
605,Comoros,2002,59.5,8.8,0.08,18.0
604,Comoros,2003,59.6,9.2,0.26,18.4
603,Comoros,2004,59.8,9.5,0.27,18.8
602,Comoros,2005,60.0,9.7,0.24,19.2
601,Comoros,2006,63.0,9.9,0.25,19.6
600,Comoros,2007,66.0,10.0,0.16,2.1
599,Comoros,2008,61.0,10.2,0.12,2.6
598,Comoros,2009,61.3,10.3,0.17,21.1
597,Comoros,2010,61.8,10.5,0.15,21.6
623,"Congo, Rep.",2000,52.9,9.8,2.26,19.3
622,"Congo, Rep.",2001,52.7,9.7,2.3,19.8
621,"Congo, Rep.",2002,52.6,9.5,2.55,2.3
620,"Congo, Rep.",2003,53.2,9.4,2.45,2.7
619,"Congo, Rep.",2004,54.1,9.2,2.58,21.2
618,"Congo, Rep.",2005,55.3,9.4,2.03,21.7
617,"Congo, Rep.",2006,56.9,9.6,2.25,22.3
616,"Congo, Rep.",2007,58.2,9.8,2.75,22.8
615,"Congo, Rep.",2008,59.4,10.0,2.58,23.3
614,"Congo, Rep.",2009,68.0,10.3,3.47,23.9
613,"Congo, Rep.",2010,62.0,10.5,3.53,24.5
640,Costa Rica,2000,77.6,11.6,4.34,45.4
639,Costa Rica,2001,77.5,11.7,4.29,46.4
638,Costa Rica,2002,78.3,11.9,4.17,47.3
637,Costa Rica,2003,78.0,12.1,4.04,48.3
636,Costa Rica,2004,77.7,12.2,4.09,49.3
635,Costa Rica,2005,78.6,12.4,4.1,5.3
634,Costa Rica,2006,78.0,12.6,4.15,51.4
633,Costa Rica,2007,78.9,12.8,4.2,52.4
632,Costa Rica,2008,78.9,12.9,4.22,53.4
631,Costa Rica,2009,79.2,13.1,4.07,54.4
630,Costa Rica,2010,78.1,13.3,3.58,55.5
656,Croatia,2000,74.7,12.2,12.73,54.7
655,Croatia,2001,74.9,12.3,13.15,55.2
654,Croatia,2002,74.8,12.6,13.39,55.8
653,Croatia,2003,74.7,12.9,13.78,56.3
652,Croatia,2004,75.4,13.3,13.11,56.9
651,Croatia,2005,75.2,13.6,11.59,57.5
650,Croatia,2006,75.9,13.9,11.83,58.1
649,Croatia,2007,75.8,14.3,12.56,58.7
648,Croatia,2008,76.0,14.3,12.06,59.4
647,Croatia,2009,76.3,14.2,12.21,6.0
646,Croatia,2010,76.6,14.2,12.1,6.6
672,Cuba,2000,76.9,12.1,3.92,49.4
671,Cuba,2001,76.7,12.3,4.04,5.4
670,Cuba,2002,77.7,12.5,4.1,51.3
669,Cuba,2003,77.4,12.9,4.39,52.1
668,Cuba,2004,77.3,13.2,4.38,53.0
667,Cuba,2005,77.2,14.2,4.48,53.8
666,Cuba,2006,78.0,14.7,4.17,54.6
665,Cuba,2007,78.1,16.0,4.13,55.4
664,Cuba,2008,77.9,17.1,4.26,56.2
663,Cuba,2009,78.1,17.7,4.01,56.9
662,Cuba,2010,78.0,17.6,4.13,57.7
688,Cyprus,2000,78.1,12.5,9.56,52.8
687,Cyprus,2001,78.2,12.4,10.16,53.3
686,Cyprus,2002,78.4,12.5,11.68,53.8
685,Cyprus,2003,78.5,13.0,10.62,54.3
684,Cyprus,2004,78.6,13.4,13.03,54.8
683,Cyprus,2005,78.7,13.5,11.41,55.3
682,Cyprus,2006,78.8,13.4,11.47,55.8
681,Cyprus,2007,78.9,13.5,11.56,56.3
680,Cyprus,2008,79.1,13.7,12.01,56.8
679,Cyprus,2009,79.3,14.1,10.8,57.3
678,Cyprus,2010,79.5,14.6,11.32,57.8
704,Czech Republic,2000,74.7,13.3,13.22,59.0
703,Czech Republic,2001,75.1,13.3,13.36,59.4
702,Czech Republic,2002,75.3,13.3,13.47,59.9
701,Czech Republic,2003,75.2,13.3,13.01,6.4
700,Czech Republic,2004,75.8,13.3,13.24,6.8
699,Czech Republic,2005,75.9,13.3,13.19,61.3
698,Czech Republic,2006,76.5,13.3,13.03,61.8
697,Czech Republic,2007,76.8,13.3,13.43,62.2
696,Czech Republic,2008,77.0,13.3,13.25,62.6
695,Czech Republic,2009,77.1,13.3,13.23,63.1
694,Czech Republic,2010,77.5,13.3,12.69,63.6
447,Cote d'Ivoire,2000,47.9,4.8,3.45,19.4
446,Cote d'Ivoire,2001,47.8,4.8,3.15,19.9
445,Cote d'Ivoire,2002,47.7,4.8,3.13,2.4
444,Cote d'Ivoire,2003,48.0,4.8,3.12,2.9
443,Cote d'Ivoire,2004,48.2,4.8,3.08,21.5
442,Cote d'Ivoire,2005,48.7,4.8,3.11,22.1
441,Cote d'Ivoire,2006,49.4,4.8,2.65,22.6
440,Cote d'Ivoire,2007,49.9,4.8,2.58,23.2
439,Cote d'Ivoire,2008,54.0,4.8,2.69,23.8
438,Cote d'Ivoire,2009,51.0,4.8,2.92,24.4
437,Cote d'Ivoire,2010,51.5,4.8,3.15,25.0
720,North Korea,2000,65.4,11.4,3.52,25.2
719,North Korea,2001,66.6,11.4,2.53,25.7
718,North Korea,2002,67.6,11.4,3.08,26.2
717,North Korea,2003,68.1,11.4,3.13,26.7
716,North Korea,2004,68.4,11.4,3.13,27.2
715,North Korea,2005,68.5,11.4,3.21,27.7
714,North Korea,2006,68.5,11.4,3.28,28.2
713,North Korea,2007,68.5,11.4,3.13,28.7
712,North Korea,2008,68.6,11.4,3.16,29.2
711,North Korea,2009,68.7,11.4,3.35,29.7
710,North Korea,2010,69.0,11.4,3.12,3.3
736,"Congo, Dem. Rep.",2000,51.3,4.2,1.98,14.9
735,"Congo, Dem. Rep.",2001,51.8,4.2,1.9,15.3
734,"Congo, Dem. Rep.",2002,52.1,4.2,1.85,15.7
733,"Congo, Dem. Rep.",2003,52.8,4.2,1.83,16.1
732,"Congo, Dem. Rep.",2004,53.5,4.2,1.44,16.5
731,"Congo, Dem. Rep.",2005,54.3,4.2,1.43,16.9
730,"Congo, Dem. Rep.",2006,55.0,4.2,1.53,17.3
729,"Congo, Dem. Rep.",2007,55.7,4.2,1.52,17.8
728,"Congo, Dem. Rep.",2008,56.3,4.2,2.09,18.2
727,"Congo, Dem. Rep.",2009,56.7,4.2,2.13,18.6
726,"Congo, Dem. Rep.",2010,57.4,4.2,1.81,19.1
752,Denmark,2000,76.9,16.5,11.69,52.2
751,Denmark,2001,77.0,16.2,11.56,52.8
750,Denmark,2002,77.0,16.6,11.34,53.3
749,Denmark,2003,77.3,16.3,11.54,53.9
748,Denmark,2004,77.7,16.5,11.27,54.4
747,Denmark,2005,78.1,16.6,11.28,55.0
746,Denmark,2006,78.1,16.9,11.02,55.4
745,Denmark,2007,78.4,16.7,10.99,55.9
744,Denmark,2008,78.8,16.8,10.7,56.3
